Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Amount,Transfer Type
2020-10-26,2020-10-26,Transfer,Transfer from *********-09S 10/26/2020 12:38 874114,CLUB SAVINGS,credit,1,-125.0,In
2020-10-26,2020-10-26,Transfer,Transfer to *********-06S 10/26/2020 12:38 874114,CHECKING,debit,1,-125.0,Out
2020-10-27,2020-10-27,Transfer,DEPT EDUCATION DESC: STUDENT LN,SAFETY NET,debit,1,-5698.0,Out
2020-10-30,2020-10-30,Transfer,Transfer from *********-00S 10/30/2020 07:49 969708,CHECKING,credit,1,-363.63,In
2020-10-30,2020-10-30,Transfer,Transfer from *********-09S 10/30/2020 16:10 982542,EMERSYN,credit,1,-10.0,In
2020-10-30,2020-10-30,Transfer,Transfer to *********-03S 10/30/2020 16:10 982542,CHECKING,debit,1,-10.0,Out
2020-10-30,2020-10-30,Transfer,Transfer to *********-09S 10/30/2020 07:49 969708,SAFETY NET,debit,1,-363.63,Out
2020-11-01,2020-11-01,Transfer,Transfer from *********-00S CIRCLE K 07216 SANBORNVILLE NHUS,CHECKING,credit,1,-100.0,In
2020-11-02,2020-11-02,Transfer,Payroll  STRIPE DESC: TRANSFER,CHECKING,credit,1,-36.46,In
2020-11-02,2020-11-02,Transfer,Transfer from *********-09S 11/02/2020 08:22 38352,CLUB SAVINGS,credit,1,-36.46,In
2020-11-02,2020-11-02,Transfer,Transfer to *********-06S 11/02/2020 08:22 38352,CHECKING,debit,1,-36.46,Out
2020-11-05,2020-11-05,Transfer,*********-09s 11/05/2020 11:24 116573,VISA STARTER,credit,1,-133.17,In
2020-11-05,2020-11-05,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-800.0,In
2020-11-05,2020-11-05,Transfer,Payment to*********-01L 11/05/2020 11:24 116573,CHECKING,debit,1,-133.17,Out
2020-11-05,2020-11-05,Transfer,Transfer from *********-09S 11/05/2020 11:23 116553,SAFETY NET,credit,1,-1722.66,In
2020-11-05,2020-11-05,Transfer,Transfer to *********-00S 11/05/2020 11:23 116553,CHECKING,debit,1,-1722.66,Out
2020-11-05,2020-11-05,Transfer,Venmo,CHECKING,debit,2,-11.5,Out
2020-11-06,2020-11-06,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-800.0,Out
2020-11-06,2020-11-06,Transfer,Transfer from *********-09S 11/06/2020 16:10 144558,EMERSYN,credit,1,-10.0,In
2020-11-06,2020-11-06,Transfer,Transfer from *********-09S 11/06/2020 16:43 145500,SAFETY NET,credit,1,-10.0,In
2020-11-06,2020-11-06,Transfer,Transfer to *********-00S 11/06/2020 16:43 145500,CHECKING,debit,1,-10.0,Out
2020-11-06,2020-11-06,Transfer,Transfer to *********-03S 11/06/2020 16:10 144558,CHECKING,debit,1,-10.0,Out
2020-11-09,2020-11-09,Transfer,*********-09s 11/09/2020 07:04 183983,VISA STARTER,credit,1,-75.97,In
2020-11-09,2020-11-09,Transfer,Payment to*********-01L 11/09/2020 07:04 183983,CHECKING,debit,1,-75.97,Out
2020-11-09,2020-11-09,Transfer,Transfer from *********-09S 11/09/2020 07:03 183975,CLUB SAVINGS,credit,1,-75.0,In
2020-11-09,2020-11-09,Transfer,Transfer from *********-09S 11/09/2020 07:04 183992,EMERSYN,credit,1,-40.0,In
2020-11-09,2020-11-09,Transfer,Transfer from *********-09S 11/09/2020 07:08 184040,CREDIT CARD,credit,1,-300.0,In
2020-11-09,2020-11-09,Transfer,Transfer to *********-02S 11/09/2020 07:08 184040,CHECKING,debit,1,-300.0,Out
2020-11-09,2020-11-09,Transfer,Transfer to *********-03S 11/09/2020 07:04 183992,CHECKING,debit,1,-40.0,Out
2020-11-09,2020-11-09,Transfer,Transfer to *********-06S 11/09/2020 07:03 183975,CHECKING,debit,1,-75.0,Out
2020-11-11,2020-11-11,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-650.84,In
2020-11-11,2020-11-11,Transfer,Transfer from *********-02S 11/11/2020 17:14 243158,CHECKING,credit,1,-650.0,In
2020-11-11,2020-11-11,Transfer,Transfer from *********-09S 11/11/2020 17:11 243087,CREDIT CARD,credit,1,-383.31,In
2020-11-11,2020-11-11,Transfer,Transfer to *********-02S 11/11/2020 17:11 243087,CHECKING,debit,1,-383.31,Out
2020-11-11,2020-11-11,Transfer,Transfer to *********-09S 11/11/2020 17:14 243158,CREDIT CARD,debit,1,-650.0,Out
2020-11-13,2020-11-13,Transfer,*********-09s 11/13/2020 15:14 288104,VISA STARTER,credit,1,-64.52,In
2020-11-13,2020-11-13,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-650.84,Out
2020-11-13,2020-11-13,Transfer,Payment to*********-01L 11/13/2020 15:14 288104,CHECKING,debit,1,-64.52,Out
2020-11-13,2020-11-13,Transfer,Transfer from *********-00S 11/13/2020 15:13 288057,CHECKING,credit,1,-308.54,In
2020-11-13,2020-11-13,Transfer,Transfer from *********-02S 11/13/2020 15:13 288078,CHECKING,credit,1,-33.35,In
2020-11-13,2020-11-13,Transfer,Transfer from *********-09S 11/13/2020 16:10 289510,EMERSYN,credit,1,-10.0,In
2020-11-13,2020-11-13,Transfer,Transfer to *********-03S 11/13/2020 16:10 289510,CHECKING,debit,1,-10.0,Out
2020-11-13,2020-11-13,Transfer,Transfer to *********-09S 11/13/2020 15:13 288057,SAFETY NET,debit,1,-308.54,Out
2020-11-13,2020-11-13,Transfer,Transfer to *********-09S 11/13/2020 15:13 288078,CREDIT CARD,debit,1,-33.35,Out
2020-11-15,2020-11-15,Transfer,*********-00s 11/15/2020 06:56 315116,VISA STARTER,credit,1,-100.0,In
2020-11-15,2020-11-15,Transfer,*********-09s 11/15/2020 15:52 323434,VISA STARTER,credit,1,-75.0,In
2020-11-15,2020-11-15,Transfer,Payment to*********-01L 11/15/2020 06:56 315116,SAFETY NET,debit,1,-100.0,Out
2020-11-15,2020-11-15,Transfer,Payment to*********-01L 11/15/2020 15:52 323434,CHECKING,debit,1,-75.0,Out
2020-11-16,2020-11-16,Transfer,Transfer from *********-00S 11/16/2020 14:35 340119,CHECKING,credit,1,-1000.0,In
2020-11-16,2020-11-16,Transfer,Transfer to *********-09S 11/16/2020 14:35 340119,SAFETY NET,debit,1,-1000.0,Out
2020-11-18,2020-11-18,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-950.0,In
2020-11-18,2020-11-18,Transfer,Transfer from *********-00S 11/18/2020 16:51 382671,CHECKING,credit,1,-50.0,In
2020-11-18,2020-11-18,Transfer,Transfer from *********-00S 11/18/2020 20:02 386502,CHECKING,credit,1,-950.0,In
2020-11-18,2020-11-18,Transfer,Transfer to *********-09S 11/18/2020 16:51 382671,SAFETY NET,debit,1,-50.0,Out
2020-11-18,2020-11-18,Transfer,Transfer to *********-09S 11/18/2020 20:02 386502,SAFETY NET,debit,1,-950.0,Out
2020-11-19,2020-11-19,Transfer,*********-09s 11/19/2020 08:00 394299,VISA STARTER,credit,1,-30.08,In
2020-11-19,2020-11-19,Transfer,Payment to*********-01L 11/19/2020 08:00 394299,CHECKING,debit,1,-30.08,Out
2020-11-19,2020-11-19,Transfer,Transfer from *********-09S 11/19/2020 07:59 394279,SAFETY NET,credit,1,-1050.0,In
2020-11-19,2020-11-19,Transfer,Transfer from *********-09S 11/19/2020 08:00 394309,CLUB SAVINGS,credit,1,-150.0,In
2020-11-19,2020-11-19,Transfer,Transfer to *********-00S 11/19/2020 07:59 394279,CHECKING,debit,1,-1050.0,Out
2020-11-19,2020-11-19,Transfer,Transfer to *********-06S 11/19/2020 08:00 394309,CHECKING,debit,1,-150.0,Out
2020-11-20,2020-11-20,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-950.0,Out
2020-11-20,2020-11-20,Transfer,Transfer from *********-09S 11/20/2020 16:10 425365,EMERSYN,credit,1,-10.0,In
2020-11-20,2020-11-20,Transfer,Transfer from *********-09S 11/20/2020 16:43 426441,SAFETY NET,credit,1,-10.0,In
2020-11-20,2020-11-20,Transfer,Transfer to *********-00S 11/20/2020 16:43 426441,CHECKING,debit,1,-10.0,Out
2020-11-20,2020-11-20,Transfer,Transfer to *********-03S 11/20/2020 16:10 425365,CHECKING,debit,1,-10.0,Out
2020-11-23,2020-11-23,Transfer,Transfer from *********-00S 11/23/2020 17:44 477457,CHECKING,credit,1,-200.0,In
2020-11-23,2020-11-23,Transfer,Transfer to *********-09S 11/23/2020 17:44 477457,SAFETY NET,debit,1,-200.0,Out
2020-11-26,2020-11-26,Transfer,Transfer from *********-00S 11/26/2020 11:41 537107,CHECKING,credit,1,-160.0,In
2020-11-26,2020-11-26,Transfer,Transfer from *********-00S 11/26/2020 11:42 537118,CREDIT CARD,credit,1,-200.0,In
2020-11-26,2020-11-26,Transfer,Transfer to *********-02S 11/26/2020 11:42 537118,SAFETY NET,debit,1,-200.0,Out
2020-11-26,2020-11-26,Transfer,Transfer to *********-09S 11/26/2020 11:41 537107,SAFETY NET,debit,1,-160.0,Out
2020-11-27,2020-11-27,Transfer,Transfer from *********-09S 11/27/2020 16:10 563801,EMERSYN,credit,1,-10.0,In
2020-11-27,2020-11-27,Transfer,Transfer to *********-03S 11/27/2020 16:10 563801,CHECKING,debit,1,-10.0,Out
2020-12-02,2020-12-02,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-600.99,In
2020-12-02,2020-12-02,Transfer,Transfer from *********-00S 12/02/2020 07:53 667282,CHECKING,credit,1,-432.45,In
