annual_revenue,Month_on_Book,Branch_Trans_3_Mos,ATM_Trans_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer_Value,Gender_P1,Household_Age,Auto_Refinance,Credit_Card,Home_Equity_ITA,Click,Open,DV,Dwelling_Type_Business,Dwelling_Type_Condo,Dwelling_Type_MobileHome,Dwelling_Type_MultiFamilyUnit,Dwelling_Type_SingleFamily,Dwelling_Type_Unknown
167,314,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1005.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
1150,294,3,23,55,0,0,0,0,1,1,0,1,0,0,0,10820.0,1,4.0,0,0,0,0,0,1,0,0,0,0,1,0
1857,383,0,1,0,0,0,0,0,1,0,1,1,0,0,0,17262.0,0,5.0,0,1,0,0,1,0,0,0,0,0,1,0
2729,344,3,0,2,0,0,0,0,1,0,0,0,0,1,0,97529.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
5846,730,7,0,0,1,0,0,0,1,0,0,1,1,0,1,134228.0,0,7.0,0,1,0,0,0,0,0,0,0,0,1,0
6400,366,4,0,4,0,0,0,0,1,0,0,0,0,0,0,300000.0,0,6.0,0,0,0,0,0,1,0,0,0,0,1,0
57,357,1,12,298,0,0,0,0,1,0,1,1,0,0,1,1353.0,1,4.0,0,0,0,0,1,1,0,0,0,0,1,0
2342,535,4,0,0,2,7,0,0,1,0,0,1,1,0,0,171163.0,1,5.0,0,1,0,0,1,0,0,0,0,0,1,0
579,292,0,3,97,2,1,9,0,1,1,1,1,0,0,0,31347.0,0,3.0,0,0,0,0,1,1,0,0,0,0,1,0
1298,369,0,0,91,1,0,0,0,1,0,1,1,0,0,1,9181.0,1,3.0,0,0,0,0,1,1,0,1,0,0,0,0
118,403,6,57,122,0,1,0,0,1,1,0,0,0,0,0,16118.0,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0
1050,344,4,2,36,2,2,39,0,1,0,0,1,0,1,1,71862.0,1,5.0,0,0,1,0,0,1,0,0,0,0,1,0
810,389,0,27,9,0,0,0,0,1,0,0,0,0,0,1,18338.0,1,5.0,0,1,0,0,1,1,0,0,0,0,1,0
520,392,0,15,10,1,0,25,0,1,0,1,1,0,1,0,12198.0,1,5.0,0,0,0,0,1,1,0,0,0,0,1,0
394,494,1,29,0,0,15,0,0,1,0,0,1,0,0,0,5552.0,0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
1538,303,1,2,9,0,0,0,0,1,1,0,0,0,0,0,33367.0,1,6.0,0,1,0,1,1,1,0,1,0,0,0,0
0,460,14,0,63,0,0,0,0,1,0,0,0,0,0,0,29298.0,0,5.0,0,1,0,0,1,1,0,0,0,0,1,0
172,324,8,16,196,2,1,0,0,1,0,0,0,0,0,0,791.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
470,472,0,9,0,0,0,0,0,1,0,0,0,0,0,1,16322.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
574,381,5,28,1,0,20,0,0,1,1,1,0,0,0,0,12443.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
312,547,2,0,0,1,3,0,0,1,0,0,1,0,0,0,2987.0,0,6.0,0,0,0,0,0,1,0,0,0,0,1,0
39,283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,485.0,1,6.0,0,0,0,0,0,1,0,0,0,0,1,0
3010,432,3,0,88,0,0,0,0,1,0,0,0,1,0,1,83458.0,0,7.0,0,1,0,0,1,1,0,0,0,0,1,0
103,272,0,21,38,0,1,33,0,1,0,1,0,0,0,0,1998.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
1691,282,2,25,43,0,1,0,0,1,0,1,1,0,1,0,24592.0,1,3.0,0,0,0,0,0,1,0,0,0,0,1,0
436,318,0,14,25,0,0,18,0,1,1,1,0,0,0,0,7663.0,0,4.0,0,1,0,0,0,1,0,0,0,0,1,0
133,587,3,14,1,1,8,0,0,1,0,0,1,0,0,0,738.0,1,7.0,0,1,0,0,1,1,0,0,0,0,1,0
566,382,6,0,0,0,0,0,0,1,1,0,1,0,0,0,9698.0,1,7.0,0,1,0,0,1,0,0,0,0,0,1,0
1184,344,0,0,0,0,0,0,0,1,0,0,1,0,0,0,55303.0,0,4.0,0,1,0,0,1,0,0,0,0,0,1,0
187,312,0,4,47,3,0,0,0,1,0,1,0,0,1,1,14109.0,0,5.0,0,0,0,0,1,1,0,0,0,0,1,0
47,344,0,0,70,1,0,0,0,0,0,0,1,0,0,0,341.0,1,6.0,0,0,0,1,1,1,0,0,0,1,0,0
284,583,0,3,0,0,3,0,0,1,0,0,0,0,1,0,8696.0,0,6.0,0,0,0,0,1,0,0,0,0,0,1,0
763,492,3,2,7,0,0,1,0,1,0,0,0,0,0,0,22173.0,1,5.0,0,1,0,0,1,1,0,0,0,0,1,0
89,320,1,8,9,0,0,24,0,1,0,1,0,0,0,1,3147.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
601,275,7,0,18,0,0,0,0,1,0,0,0,0,0,0,25917.0,1,7.0,0,0,0,0,1,1,0,1,0,0,0,0
1197,497,20,0,0,0,0,0,0,1,1,0,1,0,1,0,77006.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,0
292,299,0,0,63,1,0,0,0,0,0,0,0,0,0,1,13120.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
778,284,1,23,188,1,2,0,4,1,0,0,1,0,0,1,20834.0,0,2.0,0,1,0,0,0,1,0,0,0,0,1,0
107,382,0,0,324,1,1,10,0,0,0,0,1,0,0,0,428.0,1,7.0,0,0,0,0,0,1,0,0,0,0,1,0
534,370,22,0,0,0,0,0,0,1,1,1,1,0,0,0,7848.0,0,6.0,0,1,0,0,1,1,0,0,0,0,1,0
730,277,2,0,23,0,0,0,0,1,0,0,0,0,0,0,34762.0,1,4.0,0,0,0,0,0,1,0,0,0,0,1,0
2719,389,21,0,60,5,2,0,0,1,0,0,1,0,1,1,98646.0,0,3.0,0,0,0,0,1,1,0,0,0,0,1,0
110,504,0,3,14,0,0,0,0,1,0,0,0,0,0,1,4010.0,0,3.0,0,0,0,0,0,1,0,0,0,0,1,0
2578,344,4,55,54,0,0,0,0,1,0,1,1,0,0,0,61788.0,0,3.0,0,0,0,0,1,1,0,0,0,0,1,0
966,401,17,0,0,0,0,0,0,1,1,1,0,0,1,0,56506.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
792,412,0,0,3,2,1,0,0,0,0,0,1,0,0,0,12890.0,1,5.0,0,0,0,0,0,1,0,1,0,0,0,0
83,502,0,0,3,0,0,0,0,0,0,0,1,0,0,0,38.0,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0
1319,494,0,9,28,0,0,0,0,1,0,1,0,0,0,0,9786.0,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0
6400,288,5,13,0,1,0,0,0,1,0,0,1,1,0,1,300000.0,0,6.0,0,1,0,0,1,0,0,0,0,0,1,0
626,429,4,2,33,0,0,0,0,1,1,0,1,0,0,0,25334.0,1,7.0,0,1,0,0,0,1,0,0,0,1,0,0
299,299,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7452.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
96,560,3,15,0,2,18,0,0,1,0,1,0,0,0,1,7971.0,1,6.0,0,1,0,0,1,0,0,0,0,0,1,0
587,290,1,5,93,0,0,0,0,1,0,0,1,0,0,0,4597.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
228,275,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1140.0,1,5.0,0,0,0,0,1,1,0,0,0,0,1,0
188,392,4,0,173,0,0,0,0,0,1,0,0,0,0,0,2806.0,0,5.0,0,1,0,0,1,1,0,0,0,0,1,0
278,398,0,7,8,0,0,0,0,1,0,0,0,0,0,0,7990.0,0,5.0,0,1,0,0,1,1,0,0,0,0,1,0
